event_id,campaign_id,event_name,event_type,start_date,end_date,marketing_spend_sgd,attributed_sales_sgd,return_on_mkt_spend,channel,platform,channel_type
EVT00019,CAM0007,Corporate Gifting Push — National Day 2019,Corporate Gifting Push,8/4/2019,8/9/2019,2730.73,4916.18,1.8,Corporate,,Offline
EVT00055,CAM0021,Website Promo — National Day 2021,Website Promo,8/6/2021,8/15/2021,1907.74,5719.67,3,Website,Website,Online
EVT00125,CAM0043,Website Promo — CNY 2025,Website Promo,1/27/2025,2/5/2025,1827.62,5476.97,3,Website,Website,Online
EVT00054,CAM0020,Corporate Gifting Push — Back‑to‑School 2021,Corporate Gifting Push,7/15/2021,7/31/2021,2798.54,3358.18,1.2,Corporate,,Offline
EVT00070,CAM0026,Lazada Mega Day — Xmas 2022,Lazada Mega Day,12/8/2022,12/14/2022,2439.89,7297.66,2.99,Lazada,Lazada,Online
EVT00082,CAM0030,Website Promo — Ramadan 2023,Website Promo,3/13/2023,3/21/2023,1940.18,5516.4,2.84,Website,Website,Online
EVT00107,CAM0038,Shopee Flash Sale — Mid‑Autumn 2024,Shopee Flash Sale,8/16/2024,8/23/2024,1947.73,5852.51,3.005,Shopee,Shopee,Online
EVT00069,CAM0025,Supermarket Sampling — 11.11 Mega 2022,Supermarket Sampling,11/4/2022,11/12/2022,5616.24,7488.92,1.333,Supermarket,,Offline
EVT00002,CAM0001,Lazada Mega Day — CNY 2019,Lazada Mega Day,2/8/2019,2/15/2019,1599.91,4831.08,3.02,Lazada,Lazada,Online
EVT00005,CAM0002,Lazada Mega Day — Ramadan 2019,Lazada Mega Day,3/14/2019,3/26/2019,1785.84,5556.66,3.11,Lazada,Lazada,Online
EVT00037,CAM0013,Lazada Mega Day — Back‑to‑School 2020,Lazada Mega Day,7/22/2020,7/31/2020,2029.43,5550.53,2.735,Lazada,Lazada,Online
EVT00120,CAM0042,Lazada Mega Day — National Day 2024,Lazada Mega Day,8/7/2024,8/15/2024,2052.31,6363.34,3.101,Lazada,Lazada,Online
EVT00035,CAM0012,Website Promo — Xmas 2020,Website Promo,12/1/2020,12/11/2020,1381.65,4163.73,3.014,Website,Website,Online
EVT00104,CAM0037,Lazada Mega Day — Ramadan 2024,Lazada Mega Day,4/1/2024,4/10/2024,1752.59,5253,2.997,Lazada,Lazada,Online
EVT00048,CAM0017,Lazada Mega Day — Mid‑Autumn 2021,Lazada Mega Day,8/26/2021,9/8/2021,2186.91,6284.19,2.875,Lazada,Lazada,Online
EVT00030,CAM0011,Website Promo — 11.11 Mega 2020,Website Promo,11/8/2020,11/16/2020,1766.54,5480.07,3.102,Website,Website,Online
EVT00039,CAM0014,Website Promo — National Day 2020,Website Promo,8/7/2020,8/15/2020,764.4,2263.55,2.961,Website,Website,Online
EVT00018,CAM0007,Website Promo — National Day 2019,Website Promo,8/6/2019,8/15/2019,1515.56,4178.4,2.757,Website,Website,Online
EVT00112,CAM0040,Lazada Mega Day — Xmas 2024,Lazada Mega Day,12/21/2024,12/31/2024,3546.14,8869.14,2.5,Lazada,Lazada,Online
EVT00028,CAM0010,Corporate Gifting Push — Mid‑Autumn 2020,Corporate Gifting Push,9/12/2020,9/20/2020,1451.26,3195.7,2.2,Corporate,,Offline
EVT00097,CAM0035,Shopee Flash Sale — National Day 2023,Shopee Flash Sale,8/7/2023,8/15/2023,1631.505,3263.01,2,Shopee,Shopee,Online
EVT00118,CAM0041,Corporate Gifting Push — Back‑to‑School 2024,Corporate Gifting Push,7/1/2024,7/21/2024,2136.86,5122.7,2.4,Corporate,,Offline
EVT00017,CAM0006,Website Promo — Back‑to‑School 2019,Website Promo,7/10/2019,7/30/2019,2343.805,4687.61,2,Website,Website,Online
EVT00091,CAM0033,Lazada Mega Day — Xmas 2023,Lazada Mega Day,12/7/2023,12/19/2023,2719.24,7445.3,2.738,Lazada,Lazada,Online
EVT00038,CAM0013,Website Promo — Back‑to‑School 2020,Website Promo,7/12/2020,7/18/2020,1596.35,4152.19,2.601,Website,Website,Online
EVT00121,CAM0042,Corporate Gifting Push — National Day 2024,Corporate Gifting Push,8/2/2024,8/15/2024,3174.67,5299.45,1.67,Corporate,,Offline
EVT00040,CAM0014,Shopee Flash Sale — National Day 2020,Shopee Flash Sale,8/2/2020,8/8/2020,1921.83,4893.2,2.547,Shopee,Shopee,Online
EVT00090,CAM0033,Corporate Gifting Push — Xmas 2023,Corporate Gifting Push,12/16/2023,12/25/2023,1529.3,3240.07,2.12,Corporate,,Offline
EVT00052,CAM0019,Supermarket Sampling — Xmas 2021,Supermarket Sampling,12/7/2021,12/14/2021,2690.26,5393.67,2,Supermarket,,Offline
EVT00071,CAM0026,Corporate Gifting Push — Xmas 2022,Corporate Gifting Push,12/17/2022,12/26/2022,3963.16,5194.69,1.31,Corporate,,Offline
EVT00023,CAM0008,Corporate Gifting Push — CNY 2020,Corporate Gifting Push,1/23/2020,1/29/2020,1316.98,2633.96,2,Corporate,,Offline
EVT00096,CAM0034,Corporate Gifting Push — Back‑to‑School 2023,Corporate Gifting Push,6/29/2023,7/11/2023,2142.28,3990.6,1.86,Corporate,,Offline
EVT00114,CAM0040,Website Promo — Xmas 2024,Website Promo,12/11/2024,12/27/2024,2184.04,5445.83,2.493,Website,Website,Online
EVT00007,CAM0002,Supermarket Sampling — Ramadan 2019,Supermarket Sampling,4/10/2019,4/20/2019,4776.8,5942.68,1.244,Supermarket,,Offline
EVT00026,CAM0009,Shopee Flash Sale — Ramadan 2020,Shopee Flash Sale,3/16/2020,4/2/2020,1463.32,4625.68,3.161,Shopee,Shopee,Online
EVT00130,CAM0045,Shopee Flash Sale — Mid‑Autumn 2025,Shopee Flash Sale,8/15/2025,8/22/2025,764.71,1961.93,2.566,Shopee,Shopee,Online
EVT00106,CAM0038,Corporate Gifting Push — Mid‑Autumn 2024,Corporate Gifting Push,9/9/2024,9/20/2024,1907.22,3689.54,1.935,Corporate,,Offline
EVT00128,CAM0044,Meta Retargeting — Ramadan 2025,Meta Retargeting,3/17/2025,3/22/2025,1743.36,5433.77,3.117,Meta,Ads,Online
EVT00075,CAM0028,Website Promo — National Day 2022,Website Promo,8/6/2022,8/15/2022,1411.7,3562.12,2.523,Website,Website,Online
EVT00108,CAM0039,Corporate Gifting Push — 11.11 Mega 2024,Corporate Gifting Push,11/13/2024,11/23/2024,3186.95,5787.69,1.816,Corporate,,Offline
EVT00084,CAM0031,Lazada Mega Day — Mid‑Autumn 2023,Lazada Mega Day,8/18/2023,9/1/2023,2599.715,5199.43,2,Lazada,Lazada,Online
EVT00029,CAM0010,Corporate Gifting Push — Mid‑Autumn 2020,Corporate Gifting Push,9/1/2020,9/8/2020,1438.37,3384.46,2.35,Corporate,,Offline
EVT00051,CAM0019,Website Promo — Xmas 2021,Website Promo,12/11/2021,12/17/2021,1178.11,2211.12,1.877,Website,Website,Online
EVT00036,CAM0012,Website Promo — Xmas 2020,Website Promo,12/4/2020,12/9/2020,881.65,1916.33,2.174,Website,Website,Online
EVT00073,CAM0027,TikTok Spark Ads — Back‑to‑School 2022,TikTok Spark Ads,7/16/2022,7/25/2022,1776.39,5226,2.942,TikTok,Ads,Online
EVT00020,CAM0007,Website Promo — National Day 2019,Website Promo,8/1/2019,8/8/2019,795.34,2459.86,3.093,Website,Website,Online
EVT00117,CAM0041,Website Promo — Back‑to‑School 2024,Website Promo,7/23/2024,7/31/2024,1094.05,2268.17,2.073,Website,Website,Online
EVT00083,CAM0030,Website Promo — Ramadan 2023,Website Promo,3/25/2023,4/2/2023,851.54,1901.65,2.233,Website,Website,Online
EVT00077,CAM0029,Meta Retargeting — CNY 2023,Meta Retargeting,1/18/2023,1/24/2023,1588.39,5884.07,3.705,Meta,Ads,Online
EVT00100,CAM0036,Shopee Flash Sale — CNY 2024,Shopee Flash Sale,2/4/2024,2/15/2024,1133.12,3129.32,2.762,Shopee,Shopee,Online
EVT00008,CAM0003,Lazada Mega Day — Mid‑Autumn 2019,Lazada Mega Day,8/20/2019,8/30/2019,1268.12,3752.96,2.959,Lazada,Lazada,Online
EVT00113,CAM0040,Website Promo — Xmas 2024,Website Promo,12/15/2024,12/30/2024,1941.53,5675.3,2.923,Website,Website,Online
EVT00010,CAM0004,Meta Retargeting — 11.11 Mega 2019,Meta Retargeting,11/22/2019,11/30/2019,2662.77,8686.5,3.262,Meta,Ads,Online
EVT00081,CAM0030,Corporate Gifting Push — Ramadan 2023,Corporate Gifting Push,4/6/2023,4/20/2023,2320.74,5453.54,2.35,Corporate,,Offline
EVT00103,CAM0037,Supermarket Sampling — Ramadan 2024,Supermarket Sampling,3/30/2024,4/13/2024,3467.76,4473.86,1.29,Supermarket,,Offline
